,patrimonio_m_usd,patrimonio_m_usd,patrimonio_m_usd,patrimonio_m_usd,patrimonio_m_usd,roi_anualizado_pct,roi_anualizado_pct,roi_anualizado_pct,roi_anualizado_pct,roi_anualizado_pct,horas_sem_pico,horas_sem_pico,horas_sem_pico,horas_sem_pico,horas_sem_pico,sacrificio_total,sacrificio_total,sacrificio_total,sacrificio_total,sacrificio_total,score_exito,score_exito,score_exito,score_exito,score_exito,bienestar_psicologico,bienestar_psicologico,bienestar_psicologico,bienestar_psicologico,bienestar_psicologico,score_disciplina,score_disciplina,score_disciplina,score_disciplina,score_disciplina,divorcios_num,divorcios_num,divorcios_num,divorcios_num,divorcios_num,anos_primer_millon,anos_primer_millon,anos_primer_millon,anos_primer_millon,anos_primer_millon
,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max
sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agroindustria,3.14,1.95,3.0,1.0,18.8,19.15,17.2,12.3,4.0,57.5,73.88,74.0,13.48,40,110,7.1,7.21,1.12,3.78,9.9,24.34,23.95,5.78,9.3,41.7,46.26,46.0,12.14,11,74,7.5,7.5,1.35,3.2,10.0,1.38,1.0,1.13,0,5,6.72,7.0,3.68,1,19
Finanzas,26.58,4.42,105.48,1.0,980.0,48.48,48.5,13.99,4.0,86.5,72.14,72.0,13.4,40,112,7.01,7.0,1.09,4.18,9.77,32.67,31.5,9.24,12.9,73.8,47.51,47.0,11.42,9,84,7.41,7.4,1.44,2.1,10.0,1.44,1.0,1.16,0,6,7.13,7.0,3.57,1,18
Inmuebles,7.0,3.13,21.94,1.0,351.15,32.45,32.2,13.27,4.0,73.9,72.32,73.0,13.66,40,113,7.0,7.03,1.09,3.78,9.93,27.58,26.4,7.18,11.7,62.5,47.32,47.0,11.16,12,79,7.26,7.3,1.45,2.3,10.0,1.49,1.0,1.21,0,6,6.83,7.0,3.7,1,19
Manufactura,4.93,2.64,17.09,1.0,330.51,25.36,25.2,13.56,4.0,73.4,72.35,72.0,13.12,40,115,6.99,7.02,1.09,3.78,9.73,26.44,25.8,6.51,10.2,57.3,47.98,48.0,10.97,15,80,7.36,7.5,1.49,2.2,10.0,1.41,1.0,1.2,0,6,6.53,6.0,3.53,1,17
Retail/Comercio,4.86,2.76,11.58,1.0,273.14,28.36,28.4,13.64,4.0,68.8,72.2,72.0,13.01,40,109,6.98,7.02,1.06,3.87,9.53,27.15,26.9,6.29,8.6,55.4,47.62,47.5,11.33,12,82,7.32,7.3,1.48,2.6,10.0,1.42,1.0,1.23,0,6,6.9,7.0,3.49,1,18
Salud/Farma,3.97,2.64,3.92,1.0,27.62,27.11,27.2,13.28,4.0,59.2,70.75,71.0,14.08,40,108,6.81,6.77,1.15,3.88,9.3,26.34,26.25,6.12,11.8,44.0,49.03,49.0,12.07,17,83,7.23,7.25,1.58,3.5,10.0,1.46,1.0,1.26,0,6,7.3,7.0,3.89,1,19
Servicios,3.84,2.64,5.11,1.0,86.87,22.25,21.7,12.66,4.0,55.5,72.58,72.0,12.94,40,102,7.03,7.08,1.05,3.83,9.37,25.38,25.2,6.02,4.9,42.6,46.66,46.0,11.26,16,85,7.31,7.3,1.49,2.6,10.0,1.54,1.0,1.24,0,6,6.63,6.0,3.57,1,20
Tecnología,24.81,4.31,103.71,1.0,980.0,52.69,52.8,13.92,5.1,98.5,72.07,72.0,13.45,40,115,6.98,7.0,1.09,3.75,9.75,33.46,32.2,8.94,13.8,75.2,47.17,47.0,11.59,8,83,7.44,7.5,1.46,3.1,10.0,1.45,1.0,1.23,0,6,6.75,7.0,3.5,1,20
