variable,n,media,mediana,moda,desv_std,varianza,cv_pct,min,p5,p10,p25,p50,p75,p90,p95,max,iqr,sesgo,curtosis,ci95_lower,ci95_upper,sem,normalidad_sw_p
edad_inicio,5000,25.7592,25.0,17.0,5.675,32.2057,22.03,17.0,17.0,18.0,21.0,25.0,30.0,33.0,36.0,48.0,9.0,0.3736,-0.3066,25.6019,25.9165,0.080257,0.0
anos_primer_millon,5000,6.8302,7.0,7.0,3.5748,12.7795,52.34,1.0,1.0,2.0,4.0,7.0,9.0,12.0,13.0,20.0,5.0,0.2994,-0.3621,6.7311,6.9293,0.050556,0.0
anos_trayectoria_total,5000,12.8748,13.0,12.0,5.0015,25.0153,38.85,2.0,5.0,6.0,9.0,13.0,16.0,19.0,21.0,32.0,7.0,0.1217,-0.2993,12.7361,13.0135,0.070732,0.0
capital_inicial_usd,5000,7934.648,5398.5,500.0,7991.2432,63859968.1341,100.71,500.0,500.0,859.9,2232.5,5398.5,11069.25,18335.1,23348.15,83908.0,8836.75,2.1284,7.4814,7713.0925,8156.2035,113.013245,0.0
patrimonio_m_usd,5000,13.348,3.27,1.0,68.2977,4664.5714,511.67,1.0,1.0,1.0,1.47,3.27,6.4125,13.532,28.1115,980.0,4.9425,11.5852,149.9673,11.4545,15.2416,0.965875,0.0
roi_anualizado_pct,5000,36.5034,36.1,4.0,18.2879,334.4464,50.1,4.0,6.3,12.0,22.9,36.1,49.8,61.6,67.905,98.5,26.9,0.1734,-0.6104,35.9964,37.0104,0.25863,0.0
horas_sem_pico,5000,72.2486,72.0,71.0,13.3323,177.7499,18.45,40.0,50.0,55.0,63.0,72.0,81.0,89.0,95.0,115.0,18.0,0.0633,-0.1586,71.879,72.6182,0.188547,0.0
sacrificio_familia,5000,7.4919,7.5,10.0,1.5321,2.3472,20.45,1.8,4.8,5.5,6.5,7.5,8.6,9.6,10.0,10.0,2.1,-0.3033,-0.3211,7.4495,7.5344,0.021667,0.0
sacrificio_salud,5000,6.2401,6.2,6.2,1.6067,2.5815,25.75,0.3,3.6,4.2,5.2,6.2,7.3,8.3,8.9,10.0,2.1,-0.0707,-0.0589,6.1955,6.2846,0.022722,0.0
sacrificio_amor_pareja,5000,7.2142,7.3,10.0,1.6495,2.7209,22.86,0.8,4.4,5.0,6.1,7.3,8.5,9.5,10.0,10.0,2.4,-0.257,-0.3742,7.1685,7.26,0.023328,0.0
sacrificio_amigos,5000,5.7037,5.7,5.3,1.5732,2.475,27.58,0.0,3.1,3.7,4.7,5.7,6.8,7.7,8.3,10.0,2.1,-0.0028,-0.0265,5.6601,5.7473,0.022249,0.002002
sacrificio_ocio_hobbies,5000,8.0414,8.1,10.0,1.421,2.0192,17.67,3.2,5.5,6.1,7.1,8.1,9.2,10.0,10.0,10.0,2.1,-0.4557,-0.4136,8.002,8.0808,0.020096,0.0
sacrificio_sueno,5000,7.2633,7.3,10.0,1.5705,2.4664,21.62,1.5,4.6,5.2,6.1,7.3,8.4,9.4,10.0,10.0,2.3,-0.2015,-0.4418,7.2197,7.3068,0.02221,0.0
sacrificio_total,5000,6.9924,7.02,6.57,1.0874,1.1824,15.55,3.75,5.17,5.55,6.25,7.02,7.77,8.42,8.78,9.93,1.52,-0.1433,-0.3186,6.9623,7.0226,0.015378,0.0
score_disciplina,5000,7.3636,7.4,10.0,1.4674,2.1532,19.93,2.1,4.8,5.4,6.4,7.4,8.4,9.3,9.8,10.0,2.0,-0.248,-0.3241,7.3229,7.4043,0.020752,0.0
score_conocimiento,5000,22.0712,22.0,24.0,9.8386,96.7983,44.58,0.0,6.0,9.0,15.0,22.0,29.0,35.0,39.0,50.0,14.0,0.0773,-0.2278,21.7984,22.344,0.139139,0.0
score_red_contactos,5000,6.0894,6.1,10.0,2.1016,4.4167,34.51,0.0,2.6,3.39,4.7,6.1,7.6,8.9,9.7,10.0,2.9,-0.1688,-0.3334,6.0311,6.1476,0.029721,0.0
score_vision,5000,7.7079,7.8,10.0,1.3387,1.7921,17.37,2.8,5.4,5.9,6.8,7.8,8.7,9.5,10.0,10.0,1.9,-0.2748,-0.3126,7.6708,7.745,0.018932,0.0
score_resiliencia,5000,7.5528,7.6,10.0,1.5039,2.2617,19.91,2.1,5.0,5.6,6.5,7.6,8.6,9.7,10.0,10.0,2.1,-0.2807,-0.3414,7.5111,7.5945,0.021268,0.0
divorcios_num,5000,1.4486,1.0,1.0,1.2087,1.4609,83.44,0.0,0.0,0.0,1.0,1.0,2.0,3.0,4.0,6.0,1.0,0.7954,0.456,1.4151,1.4821,0.017093,0.0
hijos_num,5000,1.8088,2.0,1.0,1.3392,1.7934,74.04,0.0,0.0,0.0,1.0,2.0,3.0,4.0,4.0,7.0,2.0,0.7297,0.4371,1.7717,1.8459,0.018939,0.0
sueno_horas_noche,5000,5.2049,5.2,5.5,0.9087,0.8257,17.46,3.0,3.7,4.0,4.6,5.2,5.8,6.4,6.7,8.8,1.2,0.0718,-0.0717,5.1797,5.2301,0.01285,0.0
ejercicio_dias_sem,5000,2.8524,2.8,0.0,1.7246,2.9743,60.46,0.0,0.0,0.5,1.5,2.8,4.1,5.2,5.8,7.0,2.6,0.2033,-0.6345,2.8046,2.9002,0.02439,0.0
empleos_generados,5000,38.136,16.0,3.0,74.7372,5585.653,195.98,1.0,2.0,3.0,7.0,16.0,41.0,91.0,142.05,1701.0,34.0,9.4879,158.6128,36.0639,40.2081,1.056944,0.0
score_exito,5000,29.1941,28.2,24.3,8.3147,69.1338,28.48,4.9,17.7,19.8,23.7,28.2,33.5,39.1,43.9,75.2,9.8,1.0403,2.3135,28.9635,29.4246,0.117587,0.0
bienestar_psicologico,5000,47.4244,47.0,48.0,11.4006,129.9747,24.04,8.0,29.0,33.0,40.0,47.0,55.0,62.0,67.0,85.0,15.0,0.0342,-0.0425,47.1083,47.7405,0.161229,0.003336
satisfaccion_vida,5000,59.6742,60.0,57.0,8.1298,66.0941,13.62,34.0,46.95,49.0,54.0,60.0,65.0,70.0,73.0,86.0,11.0,0.02,-0.0677,59.4488,59.8996,0.114973,3.2e-05
attr_disciplina_pct,5000,26.6358,26.7,23.7,6.6399,44.0884,24.93,4.8,15.7,18.2,22.4,26.7,31.1,35.1,37.405,52.8,8.7,-0.0649,0.2466,26.4517,26.8199,0.093903,0.000286
attr_oportunidad_pct,5000,18.4031,18.4,17.9,5.5275,30.5538,30.04,1.8,9.3,11.49,14.8,18.4,21.9,25.4,27.6,42.1,7.1,0.0345,0.2597,18.2498,18.5563,0.078171,0.000204
attr_conocimiento_pct,5000,16.2875,16.3,17.2,4.7654,22.7095,29.26,1.9,8.5,10.3,13.1,16.3,19.3,22.4,24.1,36.4,6.2,0.1084,0.1974,16.1554,16.4196,0.067394,0.000207
attr_red_pct,5000,13.5904,13.6,12.4,4.7452,22.5173,34.92,1.6,5.8,7.5,10.4,13.6,16.8,19.6,21.5,32.9,6.4,0.0723,-0.0666,13.4588,13.7219,0.067108,2.2e-05
attr_trabajo_duro_pct,5000,11.5136,11.5,10.7,3.8871,15.1092,33.76,1.7,5.2,6.6,8.9,11.5,14.0,16.4,18.0,26.8,5.1,0.1071,0.0998,11.4058,11.6213,0.054971,0.0
attr_vision_pct,5000,7.7972,7.7,6.8,3.0414,9.2503,39.01,0.8,2.9,3.9,5.7,7.7,9.8,11.7,12.9,21.5,4.1,0.2232,0.16,7.7129,7.8815,0.043012,0.0
attr_suerte_pct,5000,3.9145,3.9,0.0,2.005,4.02,51.22,0.0,0.6,1.3,2.5,3.9,5.2,6.5,7.4,13.1,2.7,0.2837,0.0609,3.8589,3.9701,0.028355,0.0
attr_capital_inicial_pct,5000,1.858,1.8,-0.0,1.1596,1.3446,62.41,-0.2,0.0,0.2,1.0,1.8,2.6,3.4,3.9,6.6,1.6,0.3681,-0.1512,1.8258,1.8901,0.016399,0.0
