variable,categoria,frecuencia,porcentaje
id,SUJ-0001,1,0.02
id,SUJ-0002,1,0.02
id,SUJ-0003,1,0.02
id,SUJ-0004,1,0.02
id,SUJ-0005,1,0.02
id,SUJ-0006,1,0.02
id,SUJ-0007,1,0.02
id,SUJ-0008,1,0.02
id,SUJ-0009,1,0.02
id,SUJ-0010,1,0.02
id,SUJ-0011,1,0.02
id,SUJ-0012,1,0.02
id,SUJ-0013,1,0.02
id,SUJ-0014,1,0.02
id,SUJ-0015,1,0.02
id,SUJ-0016,1,0.02
id,SUJ-0017,1,0.02
id,SUJ-0018,1,0.02
id,SUJ-0019,1,0.02
id,SUJ-0020,1,0.02
id,SUJ-0021,1,0.02
id,SUJ-0022,1,0.02
id,SUJ-0023,1,0.02
id,SUJ-0024,1,0.02
id,SUJ-0025,1,0.02
id,SUJ-0026,1,0.02
id,SUJ-0027,1,0.02
id,SUJ-0028,1,0.02
id,SUJ-0029,1,0.02
id,SUJ-0030,1,0.02
id,SUJ-0031,1,0.02
id,SUJ-0032,1,0.02
id,SUJ-0033,1,0.02
id,SUJ-0034,1,0.02
id,SUJ-0035,1,0.02
id,SUJ-0036,1,0.02
id,SUJ-0037,1,0.02
id,SUJ-0038,1,0.02
id,SUJ-0039,1,0.02
id,SUJ-0040,1,0.02
id,SUJ-0041,1,0.02
id,SUJ-0042,1,0.02
id,SUJ-0043,1,0.02
id,SUJ-0044,1,0.02
id,SUJ-0045,1,0.02
id,SUJ-0046,1,0.02
id,SUJ-0047,1,0.02
id,SUJ-0048,1,0.02
id,SUJ-0049,1,0.02
id,SUJ-0050,1,0.02
id,SUJ-0051,1,0.02
id,SUJ-0052,1,0.02
id,SUJ-0053,1,0.02
id,SUJ-0054,1,0.02
id,SUJ-0055,1,0.02
id,SUJ-0056,1,0.02
id,SUJ-0057,1,0.02
id,SUJ-0058,1,0.02
id,SUJ-0059,1,0.02
id,SUJ-0060,1,0.02
id,SUJ-0061,1,0.02
id,SUJ-0062,1,0.02
id,SUJ-0063,1,0.02
id,SUJ-0064,1,0.02
id,SUJ-0065,1,0.02
id,SUJ-0066,1,0.02
id,SUJ-0067,1,0.02
id,SUJ-0068,1,0.02
