variable,q1,q3,iqr,fence_lo,fence_hi,n_outliers,pct_outliers
edad_inicio,21.0,30.0,9.0,7.5,43.5,7,0.14
anos_primer_millon,4.0,9.0,5.0,-3.5,16.5,27,0.54
anos_trayectoria_total,9.0,16.0,7.0,-1.5,26.5,16,0.32
capital_inicial_usd,2232.5,11069.25,8836.75,-11022.625,24324.375,229,4.58
patrimonio_m_usd,1.47,6.412,4.942,-5.944,13.826,485,9.7
roi_anualizado_pct,22.9,49.8,26.9,-17.45,90.15,2,0.04
horas_sem_pico,63.0,81.0,18.0,36.0,108.0,14,0.28
sacrificio_familia,6.5,8.6,2.1,3.35,11.75,23,0.46
sacrificio_salud,5.2,7.3,2.1,2.05,10.45,29,0.58
sacrificio_amor_pareja,6.1,8.5,2.4,2.5,12.1,12,0.24
sacrificio_amigos,4.7,6.8,2.1,1.55,9.95,39,0.78
sacrificio_ocio_hobbies,7.1,9.2,2.1,3.95,12.35,14,0.28
sacrificio_sueno,6.1,8.4,2.3,2.65,11.85,9,0.18
sacrificio_total,6.25,7.77,1.52,3.97,10.05,17,0.34
score_disciplina,6.4,8.4,2.0,3.4,11.4,23,0.46
score_conocimiento,15.0,29.0,14.0,-6.0,50.0,0,0.0
score_red_contactos,4.7,7.6,2.9,0.35,11.95,28,0.56
score_vision,6.8,8.7,1.9,3.95,11.55,22,0.44
score_resiliencia,6.5,8.6,2.1,3.35,11.75,16,0.32
divorcios_num,1.0,2.0,1.0,-0.5,3.5,307,6.14
hijos_num,1.0,3.0,2.0,-2.0,6.0,14,0.28
sueno_horas_noche,4.6,5.8,1.2,2.8,7.6,26,0.52
ejercicio_dias_sem,1.5,4.1,2.6,-2.4,8.0,0,0.0
empleos_generados,7.0,41.0,34.0,-44.0,92.0,489,9.78
score_exito,23.7,33.5,9.8,9.0,48.2,151,3.02
bienestar_psicologico,40.0,55.0,15.0,17.5,77.5,43,0.86
satisfaccion_vida,54.0,65.0,11.0,37.5,81.5,32,0.64
attr_disciplina_pct,22.4,31.1,8.7,9.35,44.15,59,1.18
attr_oportunidad_pct,14.8,21.9,7.1,4.15,32.55,75,1.5
attr_conocimiento_pct,13.1,19.3,6.2,3.8,28.6,50,1.0
attr_red_pct,10.4,16.8,6.4,0.8,26.4,21,0.42
attr_trabajo_duro_pct,8.9,14.0,5.1,1.25,21.65,32,0.64
attr_vision_pct,5.7,9.8,4.1,-0.45,15.95,33,0.66
attr_suerte_pct,2.5,5.2,2.7,-1.55,9.25,32,0.64
attr_capital_inicial_pct,1.0,2.6,1.6,-1.4,5.0,30,0.6
