var_a,var_b,pearson_r,pearson_r2,pearson_p,significativo_95,ci95_lo,ci95_hi,spearman_r,spearman_p,fuerza,direccion,abs_r
horas_sem_pico,sacrificio_total,0.8916,0.795,0.0,True,0.8858,0.8972,0.8899,0.0,Muy fuerte,Positiva,0.8916
sacrificio_ocio_hobbies,sacrificio_total,0.7359,0.5415,0.0,True,0.7229,0.7483,0.7314,0.0,Fuerte,Positiva,0.7359
anos_primer_millon,anos_trayectoria_total,0.7245,0.5249,0.0,True,0.7111,0.7374,0.7186,0.0,Fuerte,Positiva,0.7245
sacrificio_total,bienestar_psicologico,-0.7199,0.5183,0.0,True,-0.733,-0.7063,-0.7142,0.0,Fuerte,Negativa,0.7199
sacrificio_sueno,sacrificio_total,0.717,0.5141,0.0,True,0.7033,0.7302,0.7102,0.0,Fuerte,Positiva,0.717
sacrificio_familia,sacrificio_total,0.7052,0.4974,0.0,True,0.691,0.7189,0.694,0.0,Fuerte,Positiva,0.7052
horas_sem_pico,sacrificio_ocio_hobbies,0.6987,0.4882,0.0,True,0.6842,0.7126,0.7,0.0,Fuerte,Positiva,0.6987
sacrificio_amor_pareja,sacrificio_total,0.6886,0.4741,0.0,True,0.6737,0.7029,0.6748,0.0,Fuerte,Positiva,0.6886
sacrificio_salud,sacrificio_total,0.6813,0.4642,0.0,True,0.6662,0.6959,0.6623,0.0,Fuerte,Positiva,0.6813
horas_sem_pico,sacrificio_sueno,0.6671,0.445,0.0,True,0.6514,0.6822,0.6627,0.0,Fuerte,Positiva,0.6671
sacrificio_amigos,sacrificio_total,0.6622,0.4385,0.0,True,0.6464,0.6775,0.6465,0.0,Fuerte,Positiva,0.6622
horas_sem_pico,bienestar_psicologico,-0.6447,0.4156,0.0,True,-0.6606,-0.6282,-0.6385,0.0,Fuerte,Negativa,0.6447
horas_sem_pico,sacrificio_familia,0.638,0.407,0.0,True,0.6212,0.6541,0.6258,0.0,Fuerte,Positiva,0.638
roi_anualizado_pct,score_exito,0.5955,0.3547,0.0,True,0.5774,0.6131,0.579,0.0,Moderada,Positiva,0.5955
horas_sem_pico,sacrificio_salud,0.5895,0.3475,0.0,True,0.5711,0.6073,0.5752,0.0,Moderada,Positiva,0.5895
horas_sem_pico,sacrificio_amor_pareja,0.5868,0.3443,0.0,True,0.5683,0.6046,0.5745,0.0,Moderada,Positiva,0.5868
horas_sem_pico,sacrificio_amigos,0.5624,0.3163,0.0,True,0.5432,0.5811,0.5488,0.0,Moderada,Positiva,0.5624
sacrificio_ocio_hobbies,bienestar_psicologico,-0.5295,0.2804,0.0,True,-0.5491,-0.5092,-0.527,0.0,Moderada,Negativa,0.5295
sacrificio_sueno,bienestar_psicologico,-0.5142,0.2644,0.0,True,-0.5343,-0.4935,-0.5076,0.0,Moderada,Negativa,0.5142
sacrificio_familia,bienestar_psicologico,-0.5118,0.2619,0.0,True,-0.532,-0.491,-0.5043,0.0,Moderada,Negativa,0.5118
sacrificio_amor_pareja,bienestar_psicologico,-0.4965,0.2465,0.0,True,-0.5171,-0.4754,-0.4929,0.0,Moderada,Negativa,0.4965
patrimonio_m_usd,score_exito,0.4872,0.2373,0.0,True,0.4657,0.508,0.7039,0.0,Moderada,Positiva,0.4872
