,edad_inicio,anos_primer_millon,anos_trayectoria_total,capital_inicial_usd,patrimonio_m_usd,roi_anualizado_pct,horas_sem_pico,sacrificio_familia,sacrificio_salud,sacrificio_amor_pareja,sacrificio_amigos,sacrificio_ocio_hobbies,sacrificio_sueno,sacrificio_total,score_disciplina,score_conocimiento,score_red_contactos,score_vision,score_resiliencia,divorcios_num,hijos_num,sueno_horas_noche,ejercicio_dias_sem,empleos_generados,score_exito,bienestar_psicologico,satisfaccion_vida,attr_disciplina_pct,attr_oportunidad_pct,attr_conocimiento_pct,attr_red_pct,attr_trabajo_duro_pct,attr_vision_pct,attr_suerte_pct,attr_capital_inicial_pct
edad_inicio,1.0,-0.0037,-0.0105,0.0174,-0.0025,-0.0014,0.0016,-0.0001,-0.0162,0.004,-0.0205,-0.0165,0.0067,-0.0099,-0.0192,0.0085,0.0032,-0.0039,0.0146,0.0088,-0.0008,-0.0109,-0.0139,-0.0168,-0.0139,0.0049,0.0016,0.002,-0.017,0.0212,-0.0027,-0.0047,0.0111,-0.0119,0.0008
anos_primer_millon,-0.0037,1.0,0.7245,-0.0047,0.168,0.0141,-0.0035,0.0253,0.0164,0.0065,-0.0043,0.0068,-0.029,0.0051,0.0039,0.0193,0.0009,0.0017,-0.015,-0.0249,0.0167,0.0095,-0.0053,-0.0111,0.2039,-0.0098,-0.0113,-0.008,0.0029,-0.0187,0.0208,0.0135,-0.0138,0.0059,0.0046
anos_trayectoria_total,-0.0105,0.7245,1.0,-0.006,0.2461,0.0049,0.0093,0.0503,0.0184,0.0142,0.0165,0.0258,-0.0148,0.026,0.0127,0.009,-0.0012,0.0011,-0.0176,-0.0206,0.008,0.0005,-0.0067,-0.0216,0.277,-0.0162,-0.0044,-0.0102,-0.0024,-0.004,0.0127,-0.0009,-0.0006,0.0211,0.0023
capital_inicial_usd,0.0174,-0.0047,-0.006,1.0,0.0758,-0.039,0.0085,0.012,-0.006,-0.0095,0.0109,-0.0086,-0.0009,-0.0005,-0.0263,0.0243,0.0045,0.0118,0.0222,-0.0051,-0.0233,0.0186,-0.0058,0.0133,0.0856,-0.0065,0.0064,-0.0065,-0.0108,0.0054,0.0194,0.0018,-0.0124,0.0006,0.0126
patrimonio_m_usd,-0.0025,0.168,0.2461,0.0758,1.0,0.2312,-0.0042,0.0548,-0.0156,0.0059,0.0095,0.0011,-0.0175,0.0088,0.0034,0.0004,-0.0018,-0.0128,0.0323,0.0081,0.014,0.0123,0.0095,0.0043,0.4872,-0.0162,0.0021,-0.0023,0.0077,-0.0019,0.0037,-0.0052,-0.0003,-0.001,-0.0113
roi_anualizado_pct,-0.0014,0.0141,0.0049,-0.039,0.2312,1.0,-0.0065,0.0405,0.0018,0.0002,-0.0042,-0.0007,0.0155,0.0126,0.0139,-0.0121,-0.0044,0.012,0.0234,-0.0094,-0.0007,0.0004,-0.0126,0.0064,0.5955,-0.0208,-0.0008,-0.0073,0.0022,0.0152,-0.0056,0.0131,-0.0127,-0.0114,0.0008
horas_sem_pico,0.0016,-0.0035,0.0093,0.0085,-0.0042,-0.0065,1.0,0.638,0.5895,0.5868,0.5624,0.6987,0.6671,0.8916,-0.009,-0.0086,0.0004,-0.0142,-0.008,0.0172,0.0094,-0.0093,0.0144,0.0092,0.0158,-0.6447,-0.2132,-0.0255,0.0084,-0.0165,0.0215,0.0023,0.0189,0.0207,-0.0066
sacrificio_familia,-0.0001,0.0253,0.0503,0.012,0.0548,0.0405,0.638,1.0,0.3686,0.3798,0.3516,0.4552,0.4144,0.7052,-0.0054,-0.0179,0.0148,0.0045,-0.0131,0.0028,0.0035,0.0021,0.014,-0.0085,0.0834,-0.5118,-0.1856,-0.0369,-0.003,-0.0294,0.0183,0.0407,0.0345,0.0175,0.0148
sacrificio_salud,-0.0162,0.0164,0.0184,-0.006,-0.0156,0.0018,0.5895,0.3686,1.0,0.342,0.337,0.4127,0.3777,0.6813,-0.0006,-0.0243,0.0011,0.0047,-0.0041,0.0261,0.0002,-0.0022,0.0057,0.0161,0.0223,-0.4835,-0.1789,-0.0153,0.0067,-0.0109,0.0118,0.0003,0.0091,0.029,-0.0227
sacrificio_amor_pareja,0.004,0.0065,0.0142,-0.0095,0.0059,0.0002,0.5868,0.3798,0.342,1.0,0.3304,0.4179,0.3807,0.6886,-0.0045,0.0053,0.0085,0.0019,-0.0013,0.0174,0.0058,0.0178,0.0117,-0.0154,0.005,-0.4965,-0.1627,-0.0275,-0.0026,-0.003,0.0319,-0.0046,0.0231,0.0019,0.0032
sacrificio_amigos,-0.0205,-0.0043,0.0165,0.0109,0.0095,-0.0042,0.5624,0.3516,0.337,0.3304,1.0,0.3829,0.3682,0.6622,-0.0173,0.007,0.0105,-0.0105,0.0035,0.0166,-0.008,-0.0111,0.0044,0.0129,0.0214,-0.4815,-0.1719,-0.008,-0.0012,-0.0001,0.0071,-0.006,0.0092,0.0056,0.0096
sacrificio_ocio_hobbies,-0.0165,0.0068,0.0258,-0.0086,0.0011,-0.0007,0.6987,0.4552,0.4127,0.4179,0.3829,1.0,0.4635,0.7359,-0.0192,0.0103,0.0004,0.0007,-0.0022,0.0128,-0.0027,0.0013,-0.0033,0.0099,0.0174,-0.5295,-0.1928,-0.0092,0.0113,-0.0114,0.0219,-0.0261,0.0064,0.0188,-0.0056
sacrificio_sueno,0.0067,-0.029,-0.0148,-0.0009,-0.0175,0.0155,0.6671,0.4144,0.3777,0.3807,0.3682,0.4635,1.0,0.717,0.0034,-0.0067,0.0073,-0.0011,-0.0006,0.0084,0.0085,-0.0075,0.0266,0.0166,0.0136,-0.5142,-0.1745,-0.0292,0.0259,-0.0099,0.0146,-0.0081,0.0131,0.017,-0.0118
sacrificio_total,-0.0099,0.0051,0.026,-0.0005,0.0088,0.0126,0.8916,0.7052,0.6813,0.6886,0.6622,0.7359,0.717,1.0,-0.0101,-0.0066,0.0103,0.0001,-0.0042,0.0203,0.0019,0.0002,0.0145,0.0073,0.0386,-0.7199,-0.2541,-0.0303,0.0086,-0.0153,0.0253,-0.0006,0.0229,0.0213,-0.003
score_disciplina,-0.0192,0.0039,0.0127,-0.0263,0.0034,0.0139,-0.009,-0.0054,-0.0006,-0.0045,-0.0173,-0.0192,0.0034,-0.0101,1.0,0.0023,-0.006,-0.0051,-0.0052,-0.0199,0.0053,-0.0109,0.0109,-0.0157,0.0219,-0.0044,0.4495,-0.0135,0.0027,0.0096,-0.0115,0.0176,-0.0034,0.0035,0.0159
score_conocimiento,0.0085,0.0193,0.009,0.0243,0.0004,-0.0121,-0.0086,-0.0179,-0.0243,0.0053,0.007,0.0103,-0.0067,-0.0066,0.0023,1.0,-0.005,-0.0005,-0.0162,0.0014,0.0081,-0.0202,-0.0088,0.003,-0.0055,0.006,0.0018,-0.0011,0.0014,-0.0098,0.0027,0.0092,-0.0154,0.0227,-0.0012
score_red_contactos,0.0032,0.0009,-0.0012,0.0045,-0.0018,-0.0044,0.0004,0.0148,0.0011,0.0085,0.0105,0.0004,0.0073,0.0103,-0.006,-0.005,1.0,-0.0051,-0.003,0.0108,0.0105,-0.0123,0.0133,-0.0051,0.0083,0.0007,-0.0269,-0.0166,-0.0261,0.022,0.017,0.0091,0.0085,-0.0009,0.0089
score_vision,-0.0039,0.0017,0.0011,0.0118,-0.0128,0.012,-0.0142,0.0045,0.0047,0.0019,-0.0105,0.0007,-0.0011,0.0001,-0.0051,-0.0005,-0.0051,1.0,-0.0018,-0.003,-0.0033,-0.0164,-0.012,-0.0008,0.1696,0.0037,-0.0064,0.0132,-0.026,0.0091,-0.0023,0.0204,-0.0105,-0.0047,-0.0124
score_resiliencia,0.0146,-0.015,-0.0176,0.0222,0.0323,0.0234,-0.008,-0.0131,-0.0041,-0.0013,0.0035,-0.0022,-0.0006,-0.0042,-0.0052,-0.0162,-0.003,-0.0018,1.0,0.0197,-0.0023,0.0006,-0.0127,-0.0084,0.0195,0.0107,0.0032,0.014,-0.001,-0.0101,-0.0007,0.0137,-0.018,-0.0152,-0.0037
