,edad_inicio,anos_primer_millon,anos_trayectoria_total,capital_inicial_usd,patrimonio_m_usd,roi_anualizado_pct,horas_sem_pico,sacrificio_familia,sacrificio_salud,sacrificio_amor_pareja,sacrificio_amigos,sacrificio_ocio_hobbies,sacrificio_sueno,sacrificio_total,score_disciplina,score_conocimiento,score_red_contactos,score_vision,score_resiliencia,divorcios_num,hijos_num,sueno_horas_noche,ejercicio_dias_sem,empleos_generados,score_exito,bienestar_psicologico,satisfaccion_vida,attr_disciplina_pct,attr_oportunidad_pct,attr_conocimiento_pct,attr_red_pct,attr_trabajo_duro_pct,attr_vision_pct,attr_suerte_pct,attr_capital_inicial_pct
edad_inicio,1.0,0.794624,0.458241,0.219189,0.859673,0.91963,0.912145,0.996361,0.251025,0.776119,0.147325,0.242874,0.636224,0.483169,0.175143,0.550228,0.819072,0.785137,0.301473,0.534719,0.953697,0.441502,0.326021,0.235558,0.326563,0.728194,0.908555,0.887042,0.228229,0.133708,0.849815,0.739408,0.432579,0.398965,0.95406
anos_primer_millon,0.794624,1.0,0.0,0.737268,0.0,0.317595,0.807096,0.073616,0.247664,0.64779,0.759675,0.628732,0.040466,0.717165,0.784414,0.172021,0.948547,0.90445,0.29009,0.078701,0.237732,0.500563,0.706934,0.431307,0.0,0.48907,0.426386,0.570754,0.836427,0.18535,0.140803,0.339138,0.328217,0.678617,0.747358
anos_trayectoria_total,0.458241,0.0,1.0,0.669111,0.0,0.727183,0.512177,0.000377,0.193479,0.315697,0.242398,0.068574,0.296873,0.065499,0.36747,0.524867,0.9339,0.940135,0.213488,0.144853,0.569626,0.971846,0.635289,0.126354,0.0,0.252231,0.755081,0.471634,0.863667,0.77757,0.369748,0.951272,0.966592,0.135263,0.87043
capital_inicial_usd,0.219189,0.737268,0.669111,1.0,0.0,0.005787,0.549566,0.395024,0.671868,0.502379,0.43929,0.541243,0.949848,0.96909,0.062648,0.085564,0.748744,0.404624,0.11701,0.717053,0.099841,0.188315,0.681576,0.345676,0.0,0.643732,0.651436,0.647361,0.443965,0.700851,0.171185,0.898557,0.380291,0.965169,0.374266
patrimonio_m_usd,0.859673,0.0,0.0,0.0,1.0,0.0,0.766005,0.000106,0.270095,0.677785,0.503582,0.937884,0.216479,0.533093,0.807612,0.975129,0.896838,0.365843,0.022295,0.566282,0.321039,0.385929,0.500452,0.758875,0.0,0.252581,0.879895,0.87189,0.58554,0.894955,0.791672,0.714744,0.980428,0.940889,0.425701
roi_anualizado_pct,0.91963,0.317595,0.727183,0.005787,0.0,1.0,0.648011,0.004214,0.898329,0.990934,0.764466,0.961717,0.271779,0.37437,0.325507,0.394129,0.756206,0.3962,0.097665,0.504529,0.961983,0.979729,0.373358,0.652927,0.0,0.141928,0.957183,0.607679,0.877876,0.284,0.692554,0.354576,0.370158,0.422033,0.953664
horas_sem_pico,0.912145,0.807096,0.512177,0.549566,0.766005,0.648011,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525442,0.545407,0.976808,0.314978,0.571566,0.223697,0.506516,0.511018,0.307377,0.513272,0.263354,0.0,0.0,0.070853,0.554664,0.241992,0.128484,0.871806,0.180619,0.143062,0.638318
sacrificio_familia,0.996361,0.073616,0.000377,0.395024,0.000106,0.004214,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.700923,0.206555,0.294596,0.748088,0.355932,0.845725,0.807263,0.882213,0.32064,0.547129,0.0,0.0,0.0,0.008987,0.833018,0.037441,0.196959,0.003956,0.014746,0.216625,0.29638
sacrificio_salud,0.251025,0.247664,0.193479,0.671868,0.270095,0.898329,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.964764,0.085226,0.935854,0.741148,0.774127,0.064693,0.991099,0.873835,0.689168,0.256247,0.115167,0.0,0.0,0.279024,0.637538,0.442017,0.403395,0.983969,0.520203,0.040343,0.108319
sacrificio_amor_pareja,0.776119,0.64779,0.315697,0.502379,0.677785,0.990934,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.751646,0.708062,0.547648,0.890609,0.926514,0.217728,0.68242,0.207135,0.409754,0.275306,0.721225,0.0,0.0,0.051834,0.855141,0.830774,0.02404,0.744044,0.101742,0.89513,0.822675
