,edad_inicio,anos_primer_millon,anos_trayectoria_total,capital_inicial_usd,patrimonio_m_usd,roi_anualizado_pct,horas_sem_pico,sacrificio_familia,sacrificio_salud,sacrificio_amor_pareja,sacrificio_amigos,sacrificio_ocio_hobbies,sacrificio_sueno,sacrificio_total,score_disciplina,score_conocimiento,score_red_contactos,score_vision,score_resiliencia,divorcios_num,hijos_num,sueno_horas_noche,ejercicio_dias_sem,empleos_generados,score_exito,bienestar_psicologico,satisfaccion_vida,attr_disciplina_pct,attr_oportunidad_pct,attr_conocimiento_pct,attr_red_pct,attr_trabajo_duro_pct,attr_vision_pct,attr_suerte_pct,attr_capital_inicial_pct
edad_inicio,1.0,0.0004,-0.0041,0.025,-0.0088,-0.0074,0.0026,0.001,-0.0102,0.0061,-0.0177,-0.0086,0.0069,-0.0093,-0.0204,-0.0004,0.0024,-0.0024,0.0098,0.0117,0.0023,-0.0092,-0.0127,0.016,-0.0182,0.0085,0.0015,0.0005,-0.0187,0.0209,-0.0028,-0.0019,0.0123,-0.0136,-0.0037
anos_primer_millon,0.0004,1.0,0.7186,-0.0088,0.2464,0.0176,-0.0025,0.0235,0.0173,0.0055,-0.0059,0.0014,-0.0281,0.005,0.0024,0.023,0.0031,0.0062,-0.0144,-0.0272,0.0188,0.0095,-0.0071,0.002,0.158,-0.0132,-0.0083,-0.0075,0.0016,-0.0267,0.0189,0.0195,-0.0115,0.005,0.0033
anos_trayectoria_total,-0.0041,0.7186,1.0,-0.0079,0.3374,0.0032,0.0089,0.0462,0.0208,0.0117,0.0107,0.019,-0.0145,0.0237,0.014,0.0086,-0.0032,-0.0008,-0.0186,-0.0152,0.0085,-0.001,-0.0074,0.0001,0.2059,-0.0168,-0.0091,-0.0104,-0.0022,-0.0054,0.0141,0.0075,0.0075,0.0194,0.0053
capital_inicial_usd,0.025,-0.0088,-0.0079,1.0,0.1515,-0.0354,0.0164,0.0283,-0.0003,0.0053,0.0136,0.0023,0.012,0.0106,-0.0256,0.0252,0.0092,0.014,0.0149,-0.0091,-0.0134,0.0129,-0.0027,-0.0188,0.074,-0.0151,0.009,-0.0155,-0.0064,0.0065,0.0227,0.0083,-0.0113,-0.0058,0.003
patrimonio_m_usd,-0.0088,0.2464,0.3374,0.1515,1.0,0.3477,0.0206,0.1052,0.0238,0.0116,0.0129,0.0187,0.0068,0.0382,0.0098,-0.0047,0.0102,0.0105,0.0008,-0.0304,0.0041,-0.0035,-0.0003,0.0035,0.7039,-0.0272,-0.0018,-0.0144,-0.0065,0.0065,0.0111,0.0267,-0.0061,-0.0033,-0.0008
roi_anualizado_pct,-0.0074,0.0176,0.0032,-0.0354,0.3477,1.0,-0.0073,0.0334,0.0028,-0.0028,-0.0091,-0.0063,0.0095,0.0055,0.0119,-0.0139,-0.0032,0.0156,0.0251,-0.0039,-0.0037,-0.0008,-0.0128,0.016,0.579,-0.0106,0.0018,-0.0027,0.0017,0.0184,-0.008,0.0189,-0.0064,-0.0116,0.0009
horas_sem_pico,0.0026,-0.0025,0.0089,0.0164,0.0206,-0.0073,1.0,0.6258,0.5752,0.5745,0.5488,0.7,0.6627,0.8899,-0.0057,-0.0077,0.0003,-0.0158,-0.0139,0.0124,0.006,-0.0175,0.014,0.0222,0.0178,-0.6385,-0.2127,-0.0363,0.007,-0.012,0.0226,0.0055,0.0227,0.0169,-0.005
sacrificio_familia,0.001,0.0235,0.0462,0.0283,0.1052,0.0334,0.6258,1.0,0.3586,0.3733,0.3413,0.4418,0.4078,0.694,-0.0004,-0.013,0.0125,0.0064,-0.0147,0.0032,0.0013,0.0017,0.0159,-0.0158,0.0697,-0.5043,-0.1796,-0.0377,-0.002,-0.026,0.0204,0.0338,0.0392,0.0094,0.0149
sacrificio_salud,-0.0102,0.0173,0.0208,-0.0003,0.0238,0.0028,0.5752,0.3586,1.0,0.3287,0.3253,0.4067,0.3691,0.6623,0.0048,-0.0208,0.0024,0.0028,-0.0115,0.0191,0.0011,-0.005,0.0057,0.0203,0.029,-0.4691,-0.1704,-0.0159,0.0015,-0.0099,0.0171,0.0029,0.0112,0.0277,-0.0183
sacrificio_amor_pareja,0.0061,0.0055,0.0117,0.0053,0.0116,-0.0028,0.5745,0.3733,0.3287,1.0,0.3253,0.4127,0.3682,0.6748,-0.0029,0.008,0.0066,0.0052,-0.0002,0.0176,0.003,0.021,0.0121,0.0174,0.0093,-0.4929,-0.1605,-0.0329,-0.0081,-0.0024,0.0339,0.001,0.0235,-0.0017,-0.003
