ano,patrimonio_p10_m_usd,patrimonio_p25_m_usd,patrimonio_p50_m_usd,patrimonio_p75_m_usd,patrimonio_p90_m_usd
0,0.0009,0.0022,0.0054,0.0111,0.0183
1,0.001,0.0027,0.0073,0.0166,0.0296
2,0.0011,0.0034,0.01,0.0248,0.0479
3,0.0012,0.0041,0.0136,0.0372,0.0774
4,0.0014,0.0051,0.0185,0.0557,0.125
5,0.0015,0.0063,0.0252,0.0835,0.2021
6,0.0017,0.0077,0.0343,0.1251,0.3265
7,0.0019,0.0095,0.0467,0.1874,0.5277
8,0.0021,0.0116,0.0636,0.2807,0.8527
9,0.0024,0.0143,0.0865,0.4205,1.378
10,0.0027,0.0176,0.1177,0.6298,2.2269
11,0.003,0.0216,0.1602,0.9435,3.5986
12,0.0034,0.0265,0.2181,1.4134,5.8154
13,0.0038,0.0326,0.2968,2.1172,9.3977
14,0.0042,0.04,0.4039,3.1716,15.1867
15,0.0047,0.0492,0.5497,4.7511,24.5416
16,0.0053,0.0605,0.7482,7.1172,39.6593
17,0.0059,0.0743,1.0183,10.6615,64.0894
18,0.0066,0.0914,1.3859,15.971,103.5685
19,0.0074,0.1123,1.8862,23.9245,167.3667
20,0.0083,0.138,2.5671,35.8389,270.4646
