variable,coeficiente,se,t_stat,p_value,sig,ci95_lo,ci95_hi
intercepto,100.606671,1.062751,94.6662,0.0,***,98.523678,102.689663
sacrificio_total,-7.465279,0.335866,-22.2269,0.0,***,-8.123577,-6.806981
sacrificio_salud,0.081603,0.102441,0.7966,0.425728,,-0.119181,0.282387
sacrificio_amor_pareja,-0.004771,0.100719,-0.0474,0.962225,,-0.202181,0.19264
sacrificio_familia,-0.032867,0.110024,-0.2987,0.765161,,-0.248513,0.182779
horas_sem_pico,-0.011263,0.018694,-0.6025,0.546854,,-0.047903,0.025376
divorcios_num,-0.024524,0.092754,-0.2644,0.791481,,-0.206322,0.157273
sueno_horas_noche,-0.003518,0.123414,-0.0285,0.977259,,-0.24541,0.238374
ejercicio_dias_sem,0.014707,0.064974,0.2263,0.82094,,-0.112642,0.142056
score_exito,-0.013174,0.013539,-0.973,0.330579,,-0.039711,0.013363
