variable,coeficiente,se,t_stat,p_value,sig,ci95_lo,ci95_hi
intercepto,31.17371,3.14614,9.9086,0.0,***,25.007277,37.340144
score_disciplina,0.164021,0.176152,0.9311,0.351828,,-0.181236,0.509279
score_conocimiento,-0.020365,0.026273,-0.7752,0.438283,,-0.07186,0.031129
horas_sem_pico,-0.114285,0.042861,-2.6664,0.007692,**,-0.198292,-0.030277
sacrificio_total,1.462347,0.525605,2.7822,0.005419,**,0.432161,2.492534
anos_trayectoria_total,0.012963,0.051711,0.2507,0.802076,,-0.088391,0.114316
capital_inicial_usd,-8.8e-05,3.2e-05,-2.7062,0.006828,**,-0.000151,-2.4e-05
score_red_contactos,-0.04283,0.122967,-0.3483,0.727623,,-0.283845,0.198184
score_vision,0.154894,0.1931,0.8021,0.422507,,-0.223581,0.533369
score_resiliencia,0.291011,0.171891,1.693,0.090519,,-0.045896,0.627918
