variable,coeficiente,se,t_stat,p_value,sig,ci95_lo,ci95_hi
intercepto,11.129602,1.602581,6.9448,0.0,***,7.988543,14.270662
score_disciplina,0.122081,0.075523,1.6165,0.106055,,-0.025944,0.270106
score_conocimiento,-0.00795,0.011262,-0.706,0.480245,,-0.030024,0.014123
horas_sem_pico,-0.03913,0.018377,-2.1293,0.033276,*,-0.075148,-0.003112
sacrificio_total,0.671368,0.225366,2.979,0.002906,**,0.229651,1.113086
anos_trayectoria_total,0.457929,0.022166,20.6592,0.0,***,0.414484,0.501374
capital_inicial_usd,9e-05,1.4e-05,6.4573,0.0,***,6.2e-05,0.000117
score_red_contactos,0.03418,0.052707,0.6485,0.5167,,-0.069126,0.137486
score_vision,1.041053,0.082768,12.578,0.0,***,0.878828,1.203278
score_resiliencia,0.127377,0.073688,1.7286,0.083942,,-0.017051,0.271804
edad_inicio,-0.015486,0.019528,-0.793,0.427817,,-0.05376,0.022789
divorcios_num,-0.102042,0.091721,-1.1125,0.265968,,-0.281816,0.077732
sueno_horas_noche,0.044399,0.122062,0.3637,0.716065,,-0.194842,0.283641
ejercicio_dias_sem,-0.004221,0.064261,-0.0657,0.947632,,-0.130173,0.121731
