id,sector,region,nivel_educacion,tipo_negocio,estado_civil_inicio,edad_inicio,anos_primer_millon,anos_trayectoria_total,capital_inicial_usd,patrimonio_m_usd,roi_anualizado_pct,horas_sem_pico,sacrificio_familia,sacrificio_salud,sacrificio_amor_pareja,sacrificio_amigos,sacrificio_ocio_hobbies,sacrificio_sueno,sacrificio_total,score_disciplina,score_conocimiento,score_red_contactos,score_vision,score_resiliencia,divorcios_num,hijos_num,sueno_horas_noche,ejercicio_dias_sem,empleos_generados,score_exito,bienestar_psicologico,satisfaccion_vida,attr_disciplina_pct,attr_oportunidad_pct,attr_conocimiento_pct,attr_red_pct,attr_trabajo_duro_pct,attr_vision_pct,attr_suerte_pct,attr_capital_inicial_pct
SUJ-0001,Finanzas,Cali,Universitario,Franquicia,Soltero,21,5,12,10750,1.7,47.1,85,7.3,5.8,9.2,6.6,9.7,9.2,7.97,8.1,38,7.6,6.0,8.1,1,1,4.5,5.8,20,27.8,32,58,30.6,21.5,12.7,15.6,13.0,3.7,2.0,0.9
SUJ-0002,Agroindustria,Lima,Bachillerato,Holding,Soltero,28,9,11,5548,1.0,14.0,76,7.2,8.3,10.0,6.3,9.8,5.4,7.83,7.2,30,7.3,5.5,7.6,0,2,6.7,3.7,15,17.3,21,64,14.7,26.6,10.5,17.3,12.7,12.4,4.5,1.3
SUJ-0003,Inmuebles,CDMX,Maestría,Empresa propia,Soltero,28,3,9,8318,1.82,37.5,54,5.7,4.1,6.5,4.8,6.2,6.2,5.58,6.7,27,7.1,7.6,5.5,0,3,4.9,2.5,44,27.4,62,57,32.7,23.1,13.6,8.9,9.9,7.6,3.1,1.1
SUJ-0004,Manufactura,Cali,Técnico,E-commerce,Casado,23,1,7,1516,1.05,10.8,64,6.0,5.8,7.0,3.5,8.6,6.7,6.27,9.8,37,6.0,9.9,6.7,1,0,3.7,3.2,4,19.4,72,75,36.4,15.2,15.2,10.1,11.1,7.2,2.8,2.0
SUJ-0005,Tecnología,Monterrey,Maestría,Empresa propia,Soltero,33,5,10,3669,4.55,54.1,41,4.9,2.8,3.5,3.9,6.6,6.3,4.67,7.7,46,4.0,7.2,6.1,3,2,3.8,3.6,3,29.3,57,66,38.8,16.3,13.8,10.7,6.8,6.9,3.0,3.7
SUJ-0006,Tecnología,Barranquilla,Maestría,Empresa propia,Soltero,34,11,12,1412,1.6,58.6,67,5.9,5.6,7.0,6.7,8.4,5.3,6.48,5.5,30,8.0,8.8,8.4,1,2,5.4,2.4,387,32.8,37,58,25.4,22.6,13.3,11.6,12.9,7.4,4.3,2.5
SUJ-0007,Tecnología,São Paulo,Universitario,Empresa familiar,Casado,17,3,9,3918,12.85,40.5,60,6.6,6.1,5.9,4.4,5.3,7.5,5.97,8.0,21,7.4,7.0,8.1,0,0,4.4,5.1,25,35.3,63,71,26.9,21.2,12.6,14.9,11.8,9.0,1.8,1.8
SUJ-0008,Servicios,Bucaramanga,Maestría,Empresa propia,Casado,17,5,9,6618,6.05,44.5,71,8.8,6.6,5.8,4.7,8.8,9.0,7.28,7.5,18,7.0,6.8,8.3,1,2,7.7,2.9,25,25.8,46,53,20.5,16.8,25.6,12.8,8.3,8.5,5.4,2.1
SUJ-0009,Manufactura,São Paulo,Posgrado,Empresa propia,Soltero,32,8,18,4674,11.4,46.7,86,6.8,6.5,6.1,6.0,9.6,10.0,7.5,6.1,34,6.6,7.1,8.5,0,3,5.1,0.3,20,33.1,32,61,34.2,15.0,15.4,17.7,15.0,0.9,0.8,1.0
SUJ-0010,Inmuebles,Bucaramanga,Maestría,E-commerce,Soltero,31,4,11,7195,1.77,63.2,66,6.8,4.9,6.7,4.9,10.0,6.7,6.67,8.7,10,4.6,6.4,8.5,1,0,6.2,2.0,51,27.8,57,63,31.9,10.8,16.3,13.0,15.2,7.0,3.7,2.1
