,count,mean,std,min,25%,50%,75%,max
edad_inicio,5000.0,25.7592,5.675,17.0,21.0,25.0,30.0,48.0
anos_primer_millon,5000.0,6.8302,3.5748,1.0,4.0,7.0,9.0,20.0
anos_trayectoria_total,5000.0,12.8748,5.0015,2.0,9.0,13.0,16.0,32.0
capital_inicial_usd,5000.0,7934.648,7991.2432,500.0,2232.5,5398.5,11069.25,83908.0
patrimonio_m_usd,5000.0,13.348,68.2977,1.0,1.47,3.27,6.4125,980.0
roi_anualizado_pct,5000.0,36.5034,18.2879,4.0,22.9,36.1,49.8,98.5
horas_sem_pico,5000.0,72.2486,13.3323,40.0,63.0,72.0,81.0,115.0
sacrificio_familia,5000.0,7.4919,1.5321,1.8,6.5,7.5,8.6,10.0
sacrificio_salud,5000.0,6.2401,1.6067,0.3,5.2,6.2,7.3,10.0
sacrificio_amor_pareja,5000.0,7.2142,1.6495,0.8,6.1,7.3,8.5,10.0
sacrificio_amigos,5000.0,5.7037,1.5732,0.0,4.7,5.7,6.8,10.0
sacrificio_ocio_hobbies,5000.0,8.0414,1.421,3.2,7.1,8.1,9.2,10.0
sacrificio_sueno,5000.0,7.2633,1.5705,1.5,6.1,7.3,8.4,10.0
sacrificio_total,5000.0,6.9924,1.0874,3.75,6.25,7.02,7.77,9.93
score_disciplina,5000.0,7.3636,1.4674,2.1,6.4,7.4,8.4,10.0
score_conocimiento,5000.0,22.0712,9.8386,0.0,15.0,22.0,29.0,50.0
score_red_contactos,5000.0,6.0894,2.1016,0.0,4.7,6.1,7.6,10.0
score_vision,5000.0,7.7079,1.3387,2.8,6.8,7.8,8.7,10.0
score_resiliencia,5000.0,7.5528,1.5039,2.1,6.5,7.6,8.6,10.0
divorcios_num,5000.0,1.4486,1.2087,0.0,1.0,1.0,2.0,6.0
hijos_num,5000.0,1.8088,1.3392,0.0,1.0,2.0,3.0,7.0
sueno_horas_noche,5000.0,5.2049,0.9087,3.0,4.6,5.2,5.8,8.8
ejercicio_dias_sem,5000.0,2.8524,1.7246,0.0,1.5,2.8,4.1,7.0
empleos_generados,5000.0,38.136,74.7372,1.0,7.0,16.0,41.0,1701.0
score_exito,5000.0,29.1941,8.3147,4.9,23.7,28.2,33.5,75.2
bienestar_psicologico,5000.0,47.4244,11.4006,8.0,40.0,47.0,55.0,85.0
satisfaccion_vida,5000.0,59.6742,8.1298,34.0,54.0,60.0,65.0,86.0
attr_disciplina_pct,5000.0,26.6358,6.6399,4.8,22.4,26.7,31.1,52.8
attr_oportunidad_pct,5000.0,18.4031,5.5275,1.8,14.8,18.4,21.9,42.1
attr_conocimiento_pct,5000.0,16.2875,4.7654,1.9,13.1,16.3,19.3,36.4
attr_red_pct,5000.0,13.5904,4.7452,1.6,10.4,13.6,16.8,32.9
attr_trabajo_duro_pct,5000.0,11.5136,3.8871,1.7,8.9,11.5,14.0,26.8
attr_vision_pct,5000.0,7.7972,3.0414,0.8,5.7,7.7,9.8,21.5
attr_suerte_pct,5000.0,3.9145,2.005,0.0,2.5,3.9,5.2,13.1
attr_capital_inicial_pct,5000.0,1.858,1.1596,-0.2,1.0,1.8,2.6,6.6
