indicador,valor
Patrimonio mediano (M USD),3.27
Patrimonio medio (M USD),13.348
ROI anualizado promedio (%),36.503
ROI anualizado mediano (%),36.1
Horas/sem pico promedio,72.249
Años hasta primer millón (media),6.83
Años hasta primer millón (mediana),7.0
Score disciplina promedio (0-10),7.364
Score conocimiento promedio (0-50),22.071
Sacrificio total promedio (0-10),6.992
Sacrificio familia promedio,7.492
Sacrificio salud promedio,6.24
Sacrificio amor/pareja promedio,7.214
% con sacrificio total ≥7,51.1
% tiempo libre ≥7 (ocio),77.98
Score éxito promedio (0-100),29.194
Bienestar psicológico promedio,47.424
Satisfacción de vida promedio,59.674
Divorcios promedio,1.449
% con ≥1 divorcio,76.06
Sueño promedio (hrs/noche),5.205
% con sueño <6h,79.44
Empleos generados (media),38.136
Capital inicial promedio (USD),7934.648
Trayectoria total promedio (años),12.875
Attr. disciplina declarada (%),26.636
Attr. suerte declarada (%),3.914
