var_a,var_b,r,r2,p,sig,ci95_lo,ci95_hi,fuerza,dir
horas_sem_pico,sacrificio_total,0.8916,0.795,0.0,True,0.8858,0.8972,Muy fuerte,+
sacrificio_ocio_hobbies,sacrificio_total,0.7359,0.5415,0.0,True,0.7229,0.7483,Fuerte,+
anos_primer_millon,anos_trayectoria_total,0.7245,0.5249,0.0,True,0.7111,0.7374,Fuerte,+
sacrificio_total,bienestar_psicologico,-0.7199,0.5183,0.0,True,-0.733,-0.7063,Fuerte,−
sacrificio_sueno,sacrificio_total,0.717,0.5141,0.0,True,0.7033,0.7302,Fuerte,+
sacrificio_familia,sacrificio_total,0.7052,0.4974,0.0,True,0.691,0.7189,Fuerte,+
horas_sem_pico,sacrificio_ocio_hobbies,0.6987,0.4882,0.0,True,0.6842,0.7126,Fuerte,+
sacrificio_amor_pareja,sacrificio_total,0.6886,0.4741,0.0,True,0.6737,0.7029,Fuerte,+
sacrificio_salud,sacrificio_total,0.6813,0.4642,0.0,True,0.6662,0.6959,Fuerte,+
horas_sem_pico,sacrificio_sueno,0.6671,0.445,0.0,True,0.6514,0.6822,Fuerte,+
sacrificio_amigos,sacrificio_total,0.6622,0.4385,0.0,True,0.6464,0.6775,Fuerte,+
horas_sem_pico,bienestar_psicologico,-0.6447,0.4156,0.0,True,-0.6606,-0.6282,Fuerte,−
horas_sem_pico,sacrificio_familia,0.638,0.407,0.0,True,0.6212,0.6541,Fuerte,+
roi_anualizado_pct,score_exito,0.5955,0.3547,0.0,True,0.5774,0.6131,Moderada,+
horas_sem_pico,sacrificio_salud,0.5895,0.3475,0.0,True,0.5711,0.6073,Moderada,+
horas_sem_pico,sacrificio_amor_pareja,0.5868,0.3443,0.0,True,0.5683,0.6046,Moderada,+
horas_sem_pico,sacrificio_amigos,0.5624,0.3163,0.0,True,0.5432,0.5811,Moderada,+
sacrificio_ocio_hobbies,bienestar_psicologico,-0.5295,0.2804,0.0,True,-0.5491,-0.5092,Moderada,−
sacrificio_sueno,bienestar_psicologico,-0.5142,0.2644,0.0,True,-0.5343,-0.4935,Moderada,−
sacrificio_familia,bienestar_psicologico,-0.5118,0.2619,0.0,True,-0.532,-0.491,Moderada,−
sacrificio_amor_pareja,bienestar_psicologico,-0.4965,0.2465,0.0,True,-0.5171,-0.4754,Moderada,−
